IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
89.168.76.36,443,true,FRA,Europe,Frankfurt,265 ms,6085 kB/s
155.248.196.218,443,true,SJC,North America,San Jose,194 ms,5374 kB/s
164.152.26.70,2086,true,ORD,North America,Chicago,260 ms,4874 kB/s
192.9.246.112,8443,true,SJC,North America,San Jose,180 ms,4715 kB/s
155.248.202.141,443,true,SJC,North America,San Jose,177 ms,4350 kB/s
138.2.165.125,443,true,FRA,Europe,Frankfurt,263 ms,4066 kB/s
138.3.242.119,443,true,FRA,Europe,Frankfurt,275 ms,3849 kB/s
89.168.67.74,443,true,FRA,Europe,Frankfurt,263 ms,3784 kB/s
129.146.186.4,443,true,LAX,North America,Los Angeles,260 ms,3672 kB/s
138.3.252.199,443,true,FRA,Europe,Frankfurt,263 ms,3635 kB/s
192.18.139.229,8443,true,SJC,North America,San Jose,174 ms,3615 kB/s
141.147.41.114,443,true,FRA,Europe,Frankfurt,270 ms,3552 kB/s
141.148.229.106,443,true,AMS,Europe,Amsterdam,247 ms,3352 kB/s
129.146.213.36,80,true,LAX,North America,Los Angeles,241 ms,3337 kB/s
158.180.48.152,443,true,FRA,Europe,Frankfurt,291 ms,2994 kB/s
150.230.115.64,443,true,FRA,Europe,Frankfurt,259 ms,2925 kB/s
84.235.169.234,443,true,AMS,Europe,Amsterdam,254 ms,2893 kB/s
140.238.158.238,8080,true,YYZ,North America,Toronto,240 ms,2844 kB/s
129.146.254.39,443,true,LAX,North America,Los Angeles,258 ms,2809 kB/s
143.47.255.186,443,true,FRA,Europe,Frankfurt,254 ms,2806 kB/s
143.47.243.144,2053,true,LHR,Europe,London,239 ms,2798 kB/s
150.136.87.192,443,true,IAD,North America,Ashburn,248 ms,2787 kB/s
129.146.248.140,443,true,LAX,North America,Los Angeles,262 ms,2732 kB/s
132.145.54.84,8443,true,LHR,Europe,London,249 ms,2654 kB/s
132.145.236.199,443,true,FRA,Europe,Frankfurt,272 ms,2631 kB/s
192.18.159.129,443,true,YYZ,North America,Toronto,236 ms,2505 kB/s
168.138.70.29,443,true,YYZ,North America,Toronto,247 ms,2492 kB/s
141.147.74.232,443,true,FRA,Europe,Frankfurt,285 ms,2472 kB/s
158.101.32.53,2053,true,LAX,North America,Los Angeles,263 ms,2249 kB/s
158.180.52.235,443,true,FRA,Europe,Frankfurt,259 ms,2142 kB/s
158.101.20.88,2053,true,LAX,North America,Los Angeles,251 ms,2096 kB/s
