IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.118.81.8,443,443,true,FRA,Europe,Frankfurt,313,5.37
34.118.23.146,443,443,true,FRA,Europe,Frankfurt,289,5.36
34.105.140.105,443,443,true,LHR,Europe,London,215,5.35
34.116.140.46,443,443,true,FRA,Europe,Frankfurt,280,5.35
34.154.62.186,443,443,true,FRA,Europe,Frankfurt,261,5.34
34.154.30.175,443,443,true,FRA,Europe,Frankfurt,261,5.34
34.65.57.220,443,443,true,FRA,Europe,Frankfurt,282,5.33
34.118.38.231,443,443,true,FRA,Europe,Frankfurt,344,5.32
34.159.171.115,443,443,true,FRA,Europe,Frankfurt,382,5.31
34.118.38.231,443,443,true,FRA,Europe,Frankfurt,331,5.30
34.154.186.147,443,443,true,FRA,Europe,Frankfurt,300,5.29
34.118.107.144,443,443,true,FRA,Europe,Frankfurt,284,5.29
34.118.7.104,443,443,true,FRA,Europe,Frankfurt,319,5.28
34.118.21.230,443,443,true,FRA,Europe,Frankfurt,349,5.27
34.118.81.8,443,443,true,FRA,Europe,Frankfurt,306,5.26
34.154.171.181,443,443,true,FRA,Europe,Frankfurt,263,5.24
34.154.161.48,443,443,true,FRA,Europe,Frankfurt,273,5.23
34.89.171.120,443,443,true,FRA,Europe,Frankfurt,271,5.19
34.154.213.202,443,443,true,FRA,Europe,Frankfurt,226,5.16
34.65.214.170,443,443,true,FRA,Europe,Frankfurt,269,5.13
34.65.194.206,443,443,true,FRA,Europe,Frankfurt,309,5.08
34.116.170.77,443,443,true,FRA,Europe,Frankfurt,267,5.08
34.107.126.162,443,443,true,FRA,Europe,Frankfurt,270,5.08
34.107.113.210,443,443,true,FRA,Europe,Frankfurt,258,5.08
34.154.213.103,443,443,true,FRA,Europe,Frankfurt,205,5.08
34.116.176.79,443,443,true,FRA,Europe,Frankfurt,270,5.05
34.154.8.151,443,443,true,FRA,Europe,Frankfurt,305,5.04
34.116.214.235,443,443,true,FRA,Europe,Frankfurt,271,5.04
34.116.251.75,443,443,true,FRA,Europe,Frankfurt,281,5.01
34.116.222.152,443,443,true,FRA,Europe,Frankfurt,347,5.01
34.116.153.230,443,443,true,FRA,Europe,Frankfurt,280,5.00
34.154.60.68,443,443,true,FRA,Europe,Frankfurt,253,4.99
34.116.218.25,443,443,true,FRA,Europe,Frankfurt,330,4.96
34.118.52.125,443,443,true,FRA,Europe,Frankfurt,358,4.96
34.116.202.205,443,443,true,FRA,Europe,Frankfurt,287,4.95
34.154.47.113,443,443,true,FRA,Europe,Frankfurt,251,4.94
34.116.153.230,443,443,true,FRA,Europe,Frankfurt,304,4.93
34.118.58.146,443,443,true,FRA,Europe,Frankfurt,233,4.91
34.116.202.205,443,443,true,FRA,Europe,Frankfurt,331,4.90
34.154.252.252,443,443,true,FRA,Europe,Frankfurt,266,4.88
34.118.65.121,443,443,true,FRA,Europe,Frankfurt,271,4.88
34.107.126.162,443,443,true,FRA,Europe,Frankfurt,260,4.87
34.116.189.137,443,443,true,FRA,Europe,Frankfurt,261,4.87
34.154.25.8,443,443,true,FRA,Europe,Frankfurt,194,4.87
34.118.17.210,443,443,true,FRA,Europe,Frankfurt,302,4.86
34.116.186.213,443,443,true,FRA,Europe,Frankfurt,345,4.86
34.118.115.52,443,443,true,FRA,Europe,Frankfurt,301,4.86
34.118.54.138,443,443,true,FRA,Europe,Frankfurt,299,4.86
34.118.89.90,443,443,true,FRA,Europe,Frankfurt,279,4.84
34.118.100.37,443,443,true,FRA,Europe,Frankfurt,287,4.84
34.65.59.28,443,443,true,FRA,Europe,Frankfurt,255,4.81
35.204.93.142,443,443,true,FRA,Europe,Frankfurt,205,4.80
34.118.70.74,443,443,true,FRA,Europe,Frankfurt,291,4.80
34.118.16.200,443,443,true,FRA,Europe,Frankfurt,212,4.80
34.32.211.129,443,443,true,FRA,Europe,Frankfurt,267,4.79
35.242.243.245,443,443,true,FRA,Europe,Frankfurt,232,4.78
34.118.36.124,443,443,true,FRA,Europe,Frankfurt,209,4.78
34.116.193.101,443,443,true,FRA,Europe,Frankfurt,327,4.78
34.141.197.22,443,443,true,FRA,Europe,Frankfurt,270,4.75
34.118.32.217,443,443,true,FRA,Europe,Frankfurt,217,4.74
34.116.204.164,443,443,true,FRA,Europe,Frankfurt,299,4.73
34.154.147.205,443,443,true,FRA,Europe,Frankfurt,300,4.71
34.118.26.158,443,443,true,FRA,Europe,Frankfurt,304,4.69
34.154.24.171,443,443,true,FRA,Europe,Frankfurt,264,4.69
34.116.204.154,443,443,true,FRA,Europe,Frankfurt,267,4.69
34.116.249.207,443,443,true,FRA,Europe,Frankfurt,278,4.65
34.65.201.9,443,443,true,FRA,Europe,Frankfurt,265,4.63
34.118.17.244,443,443,true,FRA,Europe,Frankfurt,301,4.61
34.32.159.218,443,443,true,FRA,Europe,Frankfurt,268,4.60
34.159.81.210,443,443,true,FRA,Europe,Frankfurt,241,4.51
34.154.231.167,443,443,true,FRA,Europe,Frankfurt,271,4.48
34.89.179.44,443,443,true,FRA,Europe,Frankfurt,326,4.47
34.32.130.206,443,443,true,FRA,Europe,Frankfurt,270,4.41
34.91.199.198,443,443,true,FRA,Europe,Frankfurt,266,4.38
34.118.100.60,443,443,true,FRA,Europe,Frankfurt,276,4.37
34.154.222.156,443,443,true,FRA,Europe,Frankfurt,262,4.36
34.154.4.212,443,443,true,FRA,Europe,Frankfurt,262,4.35
34.107.46.133,443,443,true,FRA,Europe,Frankfurt,342,4.32
34.154.195.165,443,443,true,FRA,Europe,Frankfurt,266,4.31
