IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.219.195.47,2052,false,SIN,Asia Pacific,Singapore,231 ms,5046 kB/s
8.219.126.3,2095,false,SIN,Asia Pacific,Singapore,220 ms,5037 kB/s
8.210.146.108,2095,false,HKG,Asia Pacific,Hong Kong,61 ms,5027 kB/s
47.236.168.17,80,false,SIN,Asia Pacific,Singapore,225 ms,5022 kB/s
47.236.104.11,80,false,SIN,Asia Pacific,Singapore,234 ms,4961 kB/s
47.236.10.182,8880,false,SIN,Asia Pacific,Singapore,214 ms,4946 kB/s
8.219.126.3,80,false,SIN,Asia Pacific,Singapore,240 ms,4941 kB/s
47.236.169.15,80,false,SIN,Asia Pacific,Singapore,219 ms,4933 kB/s
47.236.149.107,2095,false,SIN,Asia Pacific,Singapore,215 ms,4932 kB/s
47.236.169.164,8880,false,SIN,Asia Pacific,Singapore,218 ms,4917 kB/s
8.219.100.168,2052,false,SIN,Asia Pacific,Singapore,218 ms,4900 kB/s
8.219.191.40,2095,false,SIN,Asia Pacific,Singapore,222 ms,4880 kB/s
8.219.209.14,2052,false,SIN,Asia Pacific,Singapore,240 ms,4842 kB/s
47.242.59.216,2082,false,HKG,Asia Pacific,Hong Kong,56 ms,4834 kB/s
8.219.195.47,8880,false,SIN,Asia Pacific,Singapore,222 ms,4777 kB/s
8.219.103.57,80,false,SIN,Asia Pacific,Singapore,218 ms,4774 kB/s
8.222.150.197,2052,false,SIN,Asia Pacific,Singapore,228 ms,4703 kB/s
47.236.75.113,8880,false,SIN,Asia Pacific,Singapore,218 ms,4693 kB/s
8.219.106.156,8080,false,SIN,Asia Pacific,Singapore,234 ms,4630 kB/s
47.242.17.250,2052,false,HKG,Asia Pacific,Hong Kong,57 ms,4619 kB/s
8.219.104.242,2052,false,SIN,Asia Pacific,Singapore,221 ms,4614 kB/s
47.242.171.94,8880,false,HKG,Asia Pacific,Hong Kong,63 ms,4593 kB/s
8.219.229.190,2082,false,SIN,Asia Pacific,Singapore,242 ms,4589 kB/s
8.219.126.240,2052,false,SIN,Asia Pacific,Singapore,218 ms,4581 kB/s
8.219.100.155,2095,false,SIN,Asia Pacific,Singapore,216 ms,4575 kB/s
8.222.214.231,2086,false,SIN,Asia Pacific,Singapore,246 ms,4508 kB/s
47.236.75.113,2086,false,SIN,Asia Pacific,Singapore,224 ms,4417 kB/s
47.236.75.113,2095,false,SIN,Asia Pacific,Singapore,219 ms,4382 kB/s
8.219.100.155,8080,false,SIN,Asia Pacific,Singapore,229 ms,4381 kB/s
8.219.13.143,2095,false,SIN,Asia Pacific,Singapore,222 ms,4352 kB/s
47.236.168.17,2052,false,SIN,Asia Pacific,Singapore,229 ms,4285 kB/s
8.210.101.157,2082,false,HKG,Asia Pacific,Hong Kong,66 ms,4251 kB/s
8.219.210.64,2082,false,SIN,Asia Pacific,Singapore,216 ms,4233 kB/s
47.236.168.17,2082,false,SIN,Asia Pacific,Singapore,244 ms,4202 kB/s
47.236.174.206,2095,false,SIN,Asia Pacific,Singapore,225 ms,4163 kB/s
8.210.55.134,2095,false,HKG,Asia Pacific,Hong Kong,67 ms,4158 kB/s
47.236.116.26,2086,false,SIN,Asia Pacific,Singapore,231 ms,4107 kB/s
47.242.171.94,2086,false,HKG,Asia Pacific,Hong Kong,63 ms,3985 kB/s
47.237.8.82,8080,false,SIN,Asia Pacific,Singapore,234 ms,3970 kB/s
47.236.169.15,2095,false,SIN,Asia Pacific,Singapore,222 ms,3935 kB/s
47.245.105.224,2082,false,SIN,Asia Pacific,Singapore,248 ms,3927 kB/s
8.219.170.223,80,false,SIN,Asia Pacific,Singapore,225 ms,3923 kB/s
8.210.55.134,8080,false,HKG,Asia Pacific,Hong Kong,63 ms,3903 kB/s
8.219.110.88,2095,false,SIN,Asia Pacific,Singapore,221 ms,3884 kB/s
47.236.7.106,2082,false,SIN,Asia Pacific,Singapore,240 ms,3773 kB/s
