IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.210.151.69,2083,true,HKG,Asia Pacific,Hong Kong,65 ms,9160 kB/s
8.210.151.69,2087,true,HKG,Asia Pacific,Hong Kong,57 ms,7935 kB/s
47.236.121.7,2083,true,SIN,Asia Pacific,Singapore,215 ms,7184 kB/s
47.242.232.14,2053,true,HKG,Asia Pacific,Hong Kong,63 ms,6390 kB/s
8.210.66.190,2083,true,HKG,Asia Pacific,Hong Kong,55 ms,6228 kB/s
8.219.122.55,8443,true,SIN,Asia Pacific,Singapore,219 ms,6036 kB/s
47.237.8.82,8443,true,SIN,Asia Pacific,Singapore,218 ms,5834 kB/s
8.210.151.69,8443,true,HKG,Asia Pacific,Hong Kong,57 ms,5723 kB/s
8.218.126.53,2087,true,HKG,Asia Pacific,Hong Kong,59 ms,5593 kB/s
8.222.255.15,8443,true,SIN,Asia Pacific,Singapore,236 ms,5493 kB/s
8.222.249.98,2096,true,SIN,Asia Pacific,Singapore,218 ms,5144 kB/s
8.218.126.53,443,true,HKG,Asia Pacific,Hong Kong,60 ms,5085 kB/s
8.217.248.220,2083,true,HKG,Asia Pacific,Hong Kong,57 ms,5000 kB/s
8.219.40.255,2053,true,SIN,Asia Pacific,Singapore,228 ms,4987 kB/s
8.222.254.91,2083,true,SIN,Asia Pacific,Singapore,219 ms,4826 kB/s
8.219.156.148,2096,true,SIN,Asia Pacific,Singapore,219 ms,4649 kB/s
8.222.254.91,2087,true,SIN,Asia Pacific,Singapore,232 ms,4632 kB/s
8.210.101.157,2053,true,HKG,Asia Pacific,Hong Kong,63 ms,4607 kB/s
8.210.101.157,2083,true,HKG,Asia Pacific,Hong Kong,60 ms,4514 kB/s
8.219.100.155,2096,true,SIN,Asia Pacific,Singapore,226 ms,4310 kB/s
8.218.126.53,2096,true,HKG,Asia Pacific,Hong Kong,61 ms,4296 kB/s
8.219.122.96,2053,true,SIN,Asia Pacific,Singapore,241 ms,4281 kB/s
8.219.113.232,2083,true,SIN,Asia Pacific,Singapore,219 ms,4266 kB/s
47.236.117.48,2087,true,SIN,Asia Pacific,Singapore,237 ms,4258 kB/s
8.219.1.92,2053,true,SIN,Asia Pacific,Singapore,234 ms,4238 kB/s
8.219.167.65,2087,true,SIN,Asia Pacific,Singapore,215 ms,4214 kB/s
8.219.210.64,8443,true,SIN,Asia Pacific,Singapore,219 ms,4195 kB/s
8.222.249.190,2096,true,SIN,Asia Pacific,Singapore,228 ms,4120 kB/s
8.222.209.223,2083,true,SIN,Asia Pacific,Singapore,234 ms,4113 kB/s
8.219.167.65,2053,true,SIN,Asia Pacific,Singapore,229 ms,4034 kB/s
8.219.122.55,2083,true,SIN,Asia Pacific,Singapore,233 ms,3979 kB/s
8.210.199.6,443,true,HKG,Asia Pacific,Hong Kong,62 ms,3953 kB/s
8.219.156.148,2053,true,SIN,Asia Pacific,Singapore,215 ms,3951 kB/s
8.222.128.131,2083,true,SIN,Asia Pacific,Singapore,224 ms,3945 kB/s
8.219.140.229,2053,true,SIN,Asia Pacific,Singapore,215 ms,3919 kB/s
47.236.170.54,2087,true,SIN,Asia Pacific,Singapore,221 ms,3900 kB/s
8.219.177.205,2053,true,SIN,Asia Pacific,Singapore,235 ms,3880 kB/s
8.219.175.127,2087,true,SIN,Asia Pacific,Singapore,207 ms,3841 kB/s
8.219.177.205,2096,true,SIN,Asia Pacific,Singapore,215 ms,3831 kB/s
47.236.75.113,2083,true,SIN,Asia Pacific,Singapore,232 ms,3809 kB/s
8.219.199.220,2053,true,SIN,Asia Pacific,Singapore,219 ms,3795 kB/s
47.245.105.224,2083,true,SIN,Asia Pacific,Singapore,233 ms,3751 kB/s
8.219.74.35,2087,true,SIN,Asia Pacific,Singapore,219 ms,3701 kB/s
47.236.83.239,2053,true,SIN,Asia Pacific,Singapore,218 ms,3654 kB/s
47.236.93.176,2087,true,SIN,Asia Pacific,Singapore,223 ms,3638 kB/s
8.219.72.51,2053,true,SIN,Asia Pacific,Singapore,231 ms,3637 kB/s
8.219.174.142,2053,true,SIN,Asia Pacific,Singapore,236 ms,3635 kB/s
47.236.83.239,2096,true,SIN,Asia Pacific,Singapore,220 ms,3605 kB/s
8.219.113.232,2087,true,SIN,Asia Pacific,Singapore,236 ms,3590 kB/s
8.219.156.148,2083,true,SIN,Asia Pacific,Singapore,216 ms,3563 kB/s
47.245.105.224,8443,true,SIN,Asia Pacific,Singapore,220 ms,3559 kB/s
47.236.169.15,2053,true,SIN,Asia Pacific,Singapore,238 ms,3550 kB/s
47.245.105.224,2053,true,SIN,Asia Pacific,Singapore,259 ms,3527 kB/s
47.236.180.51,2053,true,SIN,Asia Pacific,Singapore,227 ms,3499 kB/s
8.219.174.213,2053,true,SIN,Asia Pacific,Singapore,256 ms,3449 kB/s
8.219.126.240,2053,true,SIN,Asia Pacific,Singapore,218 ms,3448 kB/s
47.236.168.17,2083,true,SIN,Asia Pacific,Singapore,243 ms,3437 kB/s
47.236.174.206,2053,true,SIN,Asia Pacific,Singapore,216 ms,3412 kB/s
8.219.209.14,2053,true,SIN,Asia Pacific,Singapore,225 ms,3407 kB/s
8.210.101.157,2096,true,HKG,Asia Pacific,Hong Kong,58 ms,3398 kB/s
8.219.140.229,8443,true,SIN,Asia Pacific,Singapore,235 ms,3386 kB/s
8.219.100.168,2053,true,SIN,Asia Pacific,Singapore,219 ms,3382 kB/s
8.219.72.51,2083,true,SIN,Asia Pacific,Singapore,239 ms,3378 kB/s
8.222.214.231,2087,true,SIN,Asia Pacific,Singapore,245 ms,3343 kB/s
47.236.83.239,2083,true,SIN,Asia Pacific,Singapore,225 ms,3280 kB/s
47.245.105.224,2087,true,SIN,Asia Pacific,Singapore,242 ms,3254 kB/s
8.219.0.162,2083,true,SIN,Asia Pacific,Singapore,246 ms,3205 kB/s
8.222.128.131,8443,true,SIN,Asia Pacific,Singapore,241 ms,3191 kB/s
8.219.126.240,2096,true,SIN,Asia Pacific,Singapore,222 ms,3183 kB/s
8.219.86.200,2096,true,SIN,Asia Pacific,Singapore,216 ms,3161 kB/s
8.222.214.231,2053,true,SIN,Asia Pacific,Singapore,236 ms,3101 kB/s
47.236.75.113,2096,true,SIN,Asia Pacific,Singapore,239 ms,3098 kB/s
8.219.170.223,2053,true,SIN,Asia Pacific,Singapore,243 ms,3095 kB/s
8.219.106.156,2087,true,SIN,Asia Pacific,Singapore,219 ms,3064 kB/s
47.236.165.25,2053,true,SIN,Asia Pacific,Singapore,222 ms,3061 kB/s
8.219.72.51,8443,true,SIN,Asia Pacific,Singapore,239 ms,3053 kB/s
8.219.99.169,8443,true,SIN,Asia Pacific,Singapore,227 ms,3036 kB/s
8.219.103.65,2096,true,SIN,Asia Pacific,Singapore,240 ms,3026 kB/s
8.219.101.138,8443,true,SIN,Asia Pacific,Singapore,248 ms,3009 kB/s
47.236.253.41,2087,true,SIN,Asia Pacific,Singapore,230 ms,2995 kB/s
47.236.166.131,8443,true,SIN,Asia Pacific,Singapore,221 ms,2994 kB/s
47.236.38.38,443,true,SIN,Asia Pacific,Singapore,244 ms,2991 kB/s
8.219.142.191,8443,true,SIN,Asia Pacific,Singapore,233 ms,2968 kB/s
47.236.83.239,8443,true,SIN,Asia Pacific,Singapore,215 ms,2925 kB/s
8.219.167.65,2096,true,SIN,Asia Pacific,Singapore,215 ms,2918 kB/s
47.236.10.182,2087,true,SIN,Asia Pacific,Singapore,246 ms,2916 kB/s
47.236.93.176,8443,true,SIN,Asia Pacific,Singapore,216 ms,2909 kB/s
47.236.121.7,2096,true,SIN,Asia Pacific,Singapore,217 ms,2891 kB/s
47.236.93.176,2053,true,SIN,Asia Pacific,Singapore,217 ms,2889 kB/s
8.219.86.200,2087,true,SIN,Asia Pacific,Singapore,249 ms,2888 kB/s
8.219.167.65,8443,true,SIN,Asia Pacific,Singapore,228 ms,2887 kB/s
8.219.103.65,2053,true,SIN,Asia Pacific,Singapore,243 ms,2876 kB/s
8.219.101.138,2053,true,SIN,Asia Pacific,Singapore,232 ms,2873 kB/s
47.236.7.106,2083,true,SIN,Asia Pacific,Singapore,226 ms,2850 kB/s
47.236.180.51,2083,true,SIN,Asia Pacific,Singapore,236 ms,2834 kB/s
8.219.175.127,2096,true,SIN,Asia Pacific,Singapore,250 ms,2823 kB/s
8.219.210.64,2053,true,SIN,Asia Pacific,Singapore,229 ms,2821 kB/s
47.236.87.246,2083,true,SIN,Asia Pacific,Singapore,239 ms,2815 kB/s
8.222.221.109,2087,true,SIN,Asia Pacific,Singapore,239 ms,2811 kB/s
8.219.140.229,443,true,SIN,Asia Pacific,Singapore,249 ms,2783 kB/s
8.219.245.187,2083,true,SIN,Asia Pacific,Singapore,228 ms,2772 kB/s
8.219.142.191,2096,true,SIN,Asia Pacific,Singapore,227 ms,2768 kB/s
8.219.106.156,2083,true,SIN,Asia Pacific,Singapore,235 ms,2757 kB/s
8.219.175.127,2083,true,SIN,Asia Pacific,Singapore,217 ms,2735 kB/s
47.236.253.41,2096,true,SIN,Asia Pacific,Singapore,228 ms,2732 kB/s
8.222.184.198,2083,true,SIN,Asia Pacific,Singapore,230 ms,2668 kB/s
8.219.145.245,2083,true,SIN,Asia Pacific,Singapore,217 ms,2660 kB/s
8.219.142.191,2087,true,SIN,Asia Pacific,Singapore,220 ms,2658 kB/s
8.222.209.223,2053,true,SIN,Asia Pacific,Singapore,229 ms,2658 kB/s
8.219.101.138,2096,true,SIN,Asia Pacific,Singapore,222 ms,2652 kB/s
47.236.171.205,2083,true,SIN,Asia Pacific,Singapore,240 ms,2650 kB/s
8.219.228.186,2053,true,SIN,Asia Pacific,Singapore,245 ms,2648 kB/s
47.236.254.120,2053,true,SIN,Asia Pacific,Singapore,225 ms,2644 kB/s
47.236.254.120,2087,true,SIN,Asia Pacific,Singapore,244 ms,2639 kB/s
8.219.153.237,2083,true,NRT,Asia Pacific,Tokyo,294 ms,2626 kB/s
8.222.128.131,2087,true,SIN,Asia Pacific,Singapore,212 ms,2617 kB/s
47.236.254.120,2083,true,SIN,Asia Pacific,Singapore,215 ms,2607 kB/s
47.236.166.131,2087,true,SIN,Asia Pacific,Singapore,225 ms,2606 kB/s
47.236.97.90,2087,true,SIN,Asia Pacific,Singapore,232 ms,2602 kB/s
47.236.7.106,2087,true,SIN,Asia Pacific,Singapore,242 ms,2583 kB/s
8.219.106.156,8443,true,SIN,Asia Pacific,Singapore,236 ms,2564 kB/s
8.219.177.205,2083,true,SIN,Asia Pacific,Singapore,219 ms,2548 kB/s
8.222.209.223,8443,true,SIN,Asia Pacific,Singapore,216 ms,2545 kB/s
8.219.67.133,2083,true,SIN,Asia Pacific,Singapore,244 ms,2541 kB/s
8.219.228.186,2083,true,SIN,Asia Pacific,Singapore,221 ms,2533 kB/s
47.76.178.146,2053,true,HKG,Asia Pacific,Hong Kong,59 ms,2530 kB/s
8.219.78.1,2053,true,SIN,Asia Pacific,Singapore,243 ms,2527 kB/s
8.219.0.162,2096,true,SIN,Asia Pacific,Singapore,238 ms,2524 kB/s
47.236.7.106,2053,true,SIN,Asia Pacific,Singapore,231 ms,2521 kB/s
8.219.175.127,2053,true,SIN,Asia Pacific,Singapore,235 ms,2512 kB/s
8.219.100.168,2087,true,SIN,Asia Pacific,Singapore,221 ms,2497 kB/s
8.219.51.211,2096,true,SIN,Asia Pacific,Singapore,215 ms,2489 kB/s
47.236.254.120,2096,true,SIN,Asia Pacific,Singapore,233 ms,2455 kB/s
8.219.139.13,2083,true,SIN,Asia Pacific,Singapore,212 ms,2444 kB/s
47.236.87.246,2087,true,SIN,Asia Pacific,Singapore,226 ms,2440 kB/s
47.236.166.131,2096,true,SIN,Asia Pacific,Singapore,219 ms,2435 kB/s
8.219.210.64,2087,true,SIN,Asia Pacific,Singapore,236 ms,2429 kB/s
8.219.40.255,8443,true,SIN,Asia Pacific,Singapore,220 ms,2424 kB/s
47.236.174.206,2096,true,SIN,Asia Pacific,Singapore,256 ms,2399 kB/s
8.219.174.142,443,true,SIN,Asia Pacific,Singapore,242 ms,2394 kB/s
8.219.140.229,2087,true,SIN,Asia Pacific,Singapore,227 ms,2380 kB/s
8.219.124.227,2087,true,SIN,Asia Pacific,Singapore,214 ms,2374 kB/s
8.219.67.133,2096,true,SIN,Asia Pacific,Singapore,245 ms,2359 kB/s
8.222.134.170,2096,true,SIN,Asia Pacific,Singapore,235 ms,2358 kB/s
47.236.171.205,2096,true,SIN,Asia Pacific,Singapore,227 ms,2357 kB/s
8.222.209.223,2096,true,SIN,Asia Pacific,Singapore,232 ms,2344 kB/s
8.219.122.55,2053,true,SIN,Asia Pacific,Singapore,216 ms,2338 kB/s
8.219.0.162,8443,true,SIN,Asia Pacific,Singapore,234 ms,2333 kB/s
8.219.174.213,2087,true,SIN,Asia Pacific,Singapore,230 ms,2322 kB/s
8.219.103.57,2083,true,SIN,Asia Pacific,Singapore,240 ms,2320 kB/s
47.237.8.82,2096,true,SIN,Asia Pacific,Singapore,215 ms,2319 kB/s
8.219.101.138,2087,true,SIN,Asia Pacific,Singapore,220 ms,2314 kB/s
47.236.150.13,8443,true,SIN,Asia Pacific,Singapore,234 ms,2292 kB/s
8.222.134.170,2053,true,SIN,Asia Pacific,Singapore,215 ms,2281 kB/s
8.222.144.50,2087,true,SIN,Asia Pacific,Singapore,237 ms,2242 kB/s
8.210.101.157,2087,true,HKG,Asia Pacific,Hong Kong,61 ms,2239 kB/s
8.219.140.229,2083,true,SIN,Asia Pacific,Singapore,227 ms,2236 kB/s
47.236.144.156,2096,true,SIN,Asia Pacific,Singapore,242 ms,2233 kB/s
47.236.172.71,2087,true,SIN,Asia Pacific,Singapore,242 ms,2232 kB/s
