IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
34.154.209.179,443,true,FRA,Europe,Frankfurt,238 ms,5086 kB/s
34.154.115.108,443,true,FRA,Europe,Frankfurt,238 ms,5012 kB/s
34.65.173.251,443,true,FRA,Europe,Frankfurt,254 ms,4674 kB/s
34.32.230.130,443,true,FRA,Europe,Frankfurt,251 ms,4445 kB/s
34.154.134.105,443,true,FRA,Europe,Frankfurt,246 ms,4318 kB/s
34.90.125.228,443,true,FRA,Europe,Frankfurt,231 ms,4201 kB/s
34.154.219.67,443,true,FRA,Europe,Frankfurt,227 ms,4174 kB/s
34.118.7.218,443,true,FRA,Europe,Frankfurt,257 ms,3844 kB/s
34.154.251.207,443,true,AMS,Europe,Amsterdam,244 ms,3785 kB/s
34.65.187.105,443,true,FRA,Europe,Frankfurt,232 ms,3697 kB/s
34.118.69.58,443,true,FRA,Europe,Frankfurt,266 ms,3676 kB/s
34.154.145.82,443,true,FRA,Europe,Frankfurt,243 ms,3671 kB/s
34.154.149.221,443,true,FRA,Europe,Frankfurt,235 ms,3646 kB/s
34.116.186.105,443,true,FRA,Europe,Frankfurt,254 ms,3631 kB/s
34.118.87.30,443,true,FRA,Europe,Frankfurt,277 ms,3626 kB/s
34.116.187.139,443,true,FRA,Europe,Frankfurt,263 ms,3531 kB/s
34.118.3.82,443,true,FRA,Europe,Frankfurt,279 ms,3524 kB/s
34.91.166.254,443,true,FRA,Europe,Frankfurt,261 ms,3464 kB/s
34.154.214.184,443,true,FRA,Europe,Frankfurt,238 ms,3443 kB/s
34.89.156.120,443,true,FRA,Europe,Frankfurt,249 ms,3423 kB/s
34.154.22.205,443,true,FRA,Europe,Frankfurt,227 ms,3359 kB/s
34.118.80.175,443,true,FRA,Europe,Frankfurt,253 ms,3350 kB/s
34.118.90.226,443,true,FRA,Europe,Frankfurt,264 ms,3329 kB/s
34.154.217.137,443,true,FRA,Europe,Frankfurt,227 ms,3275 kB/s
34.116.178.230,443,true,FRA,Europe,Frankfurt,253 ms,3263 kB/s
34.154.225.178,443,true,FRA,Europe,Frankfurt,240 ms,3240 kB/s
34.154.198.74,443,true,FRA,Europe,Frankfurt,243 ms,3219 kB/s
34.65.96.16,443,true,FRA,Europe,Frankfurt,230 ms,3208 kB/s
34.34.1.13,443,true,FRA,Europe,Frankfurt,242 ms,3170 kB/s
34.154.21.152,443,true,FRA,Europe,Frankfurt,247 ms,3069 kB/s
34.118.40.250,443,true,FRA,Europe,Frankfurt,267 ms,2995 kB/s
34.159.192.6,443,true,FRA,Europe,Frankfurt,241 ms,2960 kB/s
34.116.179.159,443,true,FRA,Europe,Frankfurt,268 ms,2951 kB/s
34.118.10.184,443,true,FRA,Europe,Frankfurt,253 ms,2898 kB/s
34.154.255.192,443,true,FRA,Europe,Frankfurt,243 ms,2868 kB/s
34.154.84.26,443,true,FRA,Europe,Frankfurt,239 ms,2788 kB/s
34.154.155.204,443,true,FRA,Europe,Frankfurt,235 ms,2702 kB/s
34.154.207.121,443,true,FRA,Europe,Frankfurt,241 ms,2681 kB/s
34.118.65.49,443,true,FRA,Europe,Frankfurt,273 ms,2675 kB/s
34.118.27.183,443,true,FRA,Europe,Frankfurt,265 ms,2639 kB/s
34.118.15.95,443,true,FRA,Europe,Frankfurt,259 ms,2623 kB/s
34.116.203.29,443,true,FRA,Europe,Frankfurt,272 ms,2618 kB/s
34.116.203.33,443,true,FRA,Europe,Frankfurt,275 ms,2603 kB/s
34.91.47.18,443,true,FRA,Europe,Frankfurt,242 ms,2585 kB/s
34.118.105.75,443,true,FRA,Europe,Frankfurt,274 ms,2573 kB/s
34.32.156.202,443,true,FRA,Europe,Frankfurt,252 ms,2501 kB/s
34.154.97.79,443,true,FRA,Europe,Frankfurt,235 ms,2489 kB/s
34.154.237.146,443,true,FRA,Europe,Frankfurt,241 ms,2480 kB/s
34.154.150.21,443,true,FRA,Europe,Frankfurt,260 ms,2466 kB/s
34.32.225.217,443,true,FRA,Europe,Frankfurt,244 ms,2447 kB/s
34.90.240.8,443,true,FRA,Europe,Frankfurt,247 ms,2407 kB/s
34.65.171.227,443,true,FRA,Europe,Frankfurt,254 ms,2360 kB/s
34.154.147.87,443,true,FRA,Europe,Frankfurt,248 ms,2344 kB/s
34.118.30.99,443,true,FRA,Europe,Frankfurt,259 ms,2328 kB/s
34.154.155.112,443,true,FRA,Europe,Frankfurt,248 ms,2306 kB/s
34.118.27.184,443,true,FRA,Europe,Frankfurt,265 ms,2301 kB/s
34.65.210.213,443,true,FRA,Europe,Frankfurt,246 ms,2277 kB/s
34.65.83.205,443,true,FRA,Europe,Frankfurt,234 ms,2226 kB/s
34.65.128.143,443,true,FRA,Europe,Frankfurt,248 ms,2200 kB/s
34.65.241.114,443,true,FRA,Europe,Frankfurt,253 ms,2146 kB/s
34.154.105.105,443,true,FRA,Europe,Frankfurt,238 ms,2115 kB/s
34.89.128.165,443,true,FRA,Europe,Frankfurt,244 ms,2086 kB/s
34.89.153.165,443,true,FRA,Europe,Frankfurt,251 ms,2014 kB/s
34.89.190.224,443,true,FRA,Europe,Frankfurt,235 ms,1812 kB/s
34.65.152.194,443,true,FRA,Europe,Frankfurt,240 ms,1761 kB/s
35.204.223.214,443,true,FRA,Europe,Frankfurt,246 ms,1737 kB/s
